Time,Time Code,Country Name,Country Code,Imports of goods and services (current US$) [NE.IMP.GNFS.CD],Adjusted net national income (current US$) [NY.ADJ.NNTY.CD],GDP per capita (current US$) [NY.GDP.PCAP.CD],Exports of goods and services (current US$) [NE.EXP.GNFS.CD],Expense (% of GDP) [GC.XPN.TOTL.GD.ZS]
2015,YR2015,Austria,AUT,188457898640.543,309294800582.466,44195.8175947748,202784894360.508,46.2684510027225
2015,YR2015,Argentina,ARG,70064879911.7042,504983468532.134,13789.060424772,63671789068.8987,25.0083932347048
2015,YR2015,Cambodia,KHM,11939258368.9017,15283173041.1277,1170.74281578324,11140147276.578,12.0455463501453
2015,YR2015,Chile,CHL,73132216572.399,201859394730.011,13569.9481274733,70787391530.2989,21.6348148833018
2015,YR2015,Denmark,DNK,147190077810.456,260235545735.154,53254.8563700916,167735890269.837,40.4442008479026
2015,YR2015,"Egypt, Arab Rep.",EGY,71347708894.8787,297828035793.179,3370.38244716015,43423180592.9919,30.2303694913867
2015,YR2015,Greece,GRC,64870128721.4433,162219896473.003,18083.8779056547,62867562248.0769,51.5170299646372
2015,YR2015,Ireland,IRL,272324692117.446,161049885535.215,62053.9844381587,356246507448.109,27.5587295800786
2015,YR2015,Jamaica,JAM,6554701752.74459,12617353055.3488,5077.55163565712,4245566797.16268,25.7864695383499
2015,YR2015,Kenya,KEN,17669406486.0694,52198649487.7472,1496.65356762256,10608335787.6508,20.7150711505236
2015,YR2015,Lithuania,LTU,28911509381.8437,34387395960.3814,14263.9645773495,28498382257.0195,32.7646547133755
2015,YR2015,Mongolia,MNG,5283520220.99746,9093924198.03194,3919.35121410276,5134139180.50931,24.313084296183
2015,YR2015,Singapore,SGP,465345116651.21,240438285252.445,55645.6068614606,549421999163.53,15.9255259430938
2015,YR2015,Sweden,SWE,201824555274.655,424945119387.308,51545.4836095322,221067597699.186,32.1565695803515
2015,YR2015,Uganda,UGA,8035899288.87944,24604393088.6474,864.180059367602,4170603009.61344,10.7611098308915
2015,YR2015,Spain,ESP,365693229724.219,1002035761689.01,25754.36102944,402038652995.312,33.1950334479803
2015,YR2015,Russian Federation,RUS,281640331869.226,1086804222628.84,9313.021484375,391365600041.717,30.6476505158828
2015,YR2015,Nepal,NPL,8879790238.32233,23139671437.7991,882.307663457577,2488355634.59456,13.9897984538342
2015,YR2015,Japan,JPN,799671850411.581,3502202131962.94,34960.6393843385,775051882733.212,16.9738322401834
2015,YR2015,India,IND,465097592595.439,1840715014323.44,1590.17432166504,416787938311.097,15.1256903622794
,,,,,,,,
,,,,,,,,
,,,,,,,,
Data from database: World Development Indicators,,,,,,,,
Last Updated: 07/25/2023,,,,,,,,
